1053 Total Scenarios Tested.
974 Passed Scenarios (92.4976%)
79 Failed Scenarios (7.50237%)
---------
PASS: Zone K, inDir EAST , Links F-*F -- 
PASS: Zone K, inDir EAST , Links F-*B -- 
PASS: Zone K, inDir EAST , Links F-F* -- 
PASS: Zone K, inDir EAST , Links F-FF -- 
PASS: Zone K, inDir EAST , Links F-FB -- 
PASS: Zone K, inDir EAST , Links F-B* -- 
PASS: Zone K, inDir EAST , Links F-BF -- 
PASS: Zone K, inDir EAST , Links F-BB -- 
PASS: Zone K, inDir EAST , Links B-** -- 
PASS: Zone K, inDir EAST , Links B-*F -- 
PASS: Zone K, inDir EAST , Links B-*B -- 
PASS: Zone K, inDir EAST , Links B-F* -- 
PASS: Zone K, inDir EAST , Links B-FF -- 
PASS: Zone K, inDir EAST , Links B-FB -- 
PASS: Zone K, inDir EAST , Links B-B* -- 
PASS: Zone K, inDir EAST , Links B-BF -- 
PASS: Zone K, inDir EAST , Links B-BB -- 
PASS: Zone K, inDir WEST , Links *-** -- 
PASS: Zone K, inDir WEST , Links *-*F -- 
FAIL: Zone K, inDir WEST , Links *-*B -- 
PASS: Zone K, inDir WEST , Links *-F* -- 
PASS: Zone K, inDir WEST , Links *-FF -- 
FAIL: Zone K, inDir WEST , Links *-FB -- 
PASS: Zone K, inDir WEST , Links *-B* -- 
PASS: Zone K, inDir WEST , Links *-BF -- 
FAIL: Zone K, inDir WEST , Links *-BB -- 
PASS: Zone K, inDir WEST , Links F-** -- 
PASS: Zone K, inDir WEST , Links F-*F -- 
FAIL: Zone K, inDir WEST , Links F-*B -- 
PASS: Zone K, inDir WEST , Links F-F* -- 
PASS: Zone K, inDir WEST , Links F-FF -- 
FAIL: Zone K, inDir WEST , Links F-FB -- 
PASS: Zone K, inDir WEST , Links F-B* -- 
PASS: Zone K, inDir WEST , Links F-BF -- 
FAIL: Zone K, inDir WEST , Links F-BB -- 
PASS: Zone K, inDir WEST , Links B-** -- 
PASS: Zone K, inDir WEST , Links B-*F -- 
FAIL: Zone K, inDir WEST , Links B-*B -- 
PASS: Zone K, inDir WEST , Links B-F* -- 
PASS: Zone K, inDir WEST , Links B-FF -- 
FAIL: Zone K, inDir WEST , Links B-FB -- 
PASS: Zone K, inDir WEST , Links B-B* -- 
PASS: Zone K, inDir WEST , Links B-BF -- 
FAIL: Zone K, inDir WEST , Links B-BB -- 
PASS: Zone L, inDir NORTH, Links *-** -- 
PASS: Zone L, inDir NORTH, Links *-*F -- 
PASS: Zone L, inDir NORTH, Links *-*B -- 
PASS: Zone L, inDir NORTH, Links *-F* -- 
PASS: Zone L, inDir NORTH, Links *-FF -- 
PASS: Zone L, inDir NORTH, Links *-FB -- 
PASS: Zone L, inDir NORTH, Links *-B* -- 
PASS: Zone L, inDir NORTH, Links *-BF -- 
PASS: Zone L, inDir NORTH, Links *-BB -- 
PASS: Zone L, inDir NORTH, Links F-** -- 
PASS: Zone L, inDir NORTH, Links F-*F -- 
PASS: Zone L, inDir NORTH, Links F-*B -- 
PASS: Zone L, inDir NORTH, Links F-F* -- 
PASS: Zone L, inDir NORTH, Links F-FF -- 
PASS: Zone L, inDir NORTH, Links F-FB -- 
PASS: Zone L, inDir NORTH, Links F-B* -- 
PASS: Zone L, inDir NORTH, Links F-BF -- 
PASS: Zone L, inDir NORTH, Links F-BB -- 
PASS: Zone L, inDir NORTH, Links B-** -- 
PASS: Zone L, inDir NORTH, Links B-*F -- 
PASS: Zone L, inDir NORTH, Links B-*B -- 
PASS: Zone L, inDir NORTH, Links B-F* -- 
PASS: Zone L, inDir NORTH, Links B-FF -- 
PASS: Zone L, inDir NORTH, Links B-FB -- 
PASS: Zone L, inDir NORTH, Links B-B* -- 
PASS: Zone L, inDir NORTH, Links B-BF -- 
PASS: Zone L, inDir NORTH, Links B-BB -- 
PASS: Zone L, inDir EAST , Links *-** -- 
PASS: Zone L, inDir EAST , Links *-*F -- 
PASS: Zone L, inDir EAST , Links *-*B -- 
PASS: Zone L, inDir EAST , Links *-F* -- 
PASS: Zone L, inDir EAST , Links *-FF -- 
PASS: Zone L, inDir EAST , Links *-FB -- 
PASS: Zone L, inDir EAST , Links *-B* -- 
PASS: Zone L, inDir EAST , Links *-BF -- 
