324 Total Scenarios Tested.
324 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone R, inDir EAST , Links F*-- NE 
PASS: Zone R, inDir EAST , Links F*-- -- 
PASS: Zone R, inDir EAST , Links FF-- NE 
PASS: Zone R, inDir EAST , Links FF-- -- 
PASS: Zone R, inDir EAST , Links FB-- NE 
PASS: Zone R, inDir EAST , Links FB-- -- 
PASS: Zone R, inDir EAST , Links B*-- NE 
PASS: Zone R, inDir EAST , Links B*-- -- 
PASS: Zone R, inDir EAST , Links BF-- NE 
PASS: Zone R, inDir EAST , Links BF-- -- 
PASS: Zone R, inDir EAST , Links BB-- NE 
PASS: Zone R, inDir EAST , Links BB-- -- 



.
