1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone G, inDir SOUTH, Links FB-F NE 
PASS: Zone G, inDir SOUTH, Links FB-F -- 
PASS: Zone G, inDir SOUTH, Links FB-B NE 
PASS: Zone G, inDir SOUTH, Links FB-B -- 
PASS: Zone G, inDir SOUTH, Links B*-* NE 
PASS: Zone G, inDir SOUTH, Links B*-* -- 
PASS: Zone G, inDir SOUTH, Links B*-F NE 
PASS: Zone G, inDir SOUTH, Links B*-F -- 
PASS: Zone G, inDir SOUTH, Links B*-B NE 
PASS: Zone G, inDir SOUTH, Links B*-B -- 
PASS: Zone G, inDir SOUTH, Links BF-* NE 
PASS: Zone G, inDir SOUTH, Links BF-* -- 
PASS: Zone G, inDir SOUTH, Links BF-F NE 
PASS: Zone G, inDir SOUTH, Links BF-F -- 
PASS: Zone G, inDir SOUTH, Links BF-B NE 
PASS: Zone G, inDir SOUTH, Links BF-B -- 
PASS: Zone G, inDir SOUTH, Links BB-* NE 
PASS: Zone G, inDir SOUTH, Links BB-* -- 
PASS: Zone G, inDir SOUTH, Links BB-F NE 
PASS: Zone G, inDir SOUTH, Links BB-F -- 
PASS: Zone G, inDir SOUTH, Links BB-B NE 
PASS: Zone G, inDir SOUTH, Links BB-B -- 
PASS: Zone H, inDir NORTH, Links **-* NE 
PASS: Zone H, inDir NORTH, Links **-* -- 
PASS: Zone H, inDir NORTH, Links **-F NE 
PASS: Zone H, inDir NORTH, Links **-F -- 
PASS: Zone H, inDir NORTH, Links **-B NE 
PASS: Zone H, inDir NORTH, Links **-B -- 
PASS: Zone H, inDir NORTH, Links *F-* NE 
PASS: Zone H, inDir NORTH, Links *F-* -- 
PASS: Zone H, inDir NORTH, Links *F-F NE 
PASS: Zone H, inDir NORTH, Links *F-F -- 
PASS: Zone H, inDir NORTH, Links *F-B NE 
PASS: Zone H, inDir NORTH, Links *F-B -- 
PASS: Zone H, inDir NORTH, Links *B-* NE 
PASS: Zone H, inDir NORTH, Links *B-* -- 
PASS: Zone H, inDir NORTH, Links *B-F NE 
PASS: Zone H, inDir NORTH, Links *B-F -- 
PASS: Zone H, inDir NORTH, Links *B-B NE 
PASS: Zone H, inDir NORTH, Links *B-B -- 
PASS: Zone H, inDir NORTH, Links F*-* NE 
PASS: Zone H, inDir NORTH, Links F*-* -- 
PASS: Zone H, inDir NORTH, Links F*-F NE 
PASS: Zone H, inDir NORTH, Links F*-F -- 
PASS: Zone H, inDir NORTH, Links F*-B NE 
PASS: Zone H, inDir NORTH, Links F*-B -- 
PASS: Zone H, inDir NORTH, Links FF-* NE 
PASS: Zone H, inDir NORTH, Links FF-* -- 
PASS: Zone H, inDir NORTH, Links FF-F NE 
PASS: Zone H, inDir NORTH, Links FF-F -- 
PASS: Zone H, inDir NORTH, Links FF-B NE 
PASS: Zone H, inDir NORTH, Links FF-B -- 
PASS: Zone H, inDir NORTH, Links FB-* NE 
PASS: Zone H, inDir NORTH, Links FB-* -- 
PASS: Zone H, inDir NORTH, Links FB-F NE 
PASS: Zone H, inDir NORTH, Links FB-F -- 
PASS: Zone H, inDir NORTH, Links FB-B NE 
PASS: Zone H, inDir NORTH, Links FB-B -- 
PASS: Zone H, inDir NORTH, Links B*-* NE 
PASS: Zone H, inDir NORTH, Links B*-* -- 
PASS: Zone H, inDir NORTH, Links B*-F NE 
PASS: Zone H, inDir NORTH, Links B*-F -- 
PASS: Zone H, inDir NORTH, Links B*-B NE 
PASS: Zone H, inDir NORTH, Links B*-B -- 
PASS: Zone H, inDir NORTH, Links BF-* NE 
PASS: Zone H, inDir NORTH, Links BF-* -- 
PASS: Zone H, inDir NORTH, Links BF-F NE 
PASS: Zone H, inDir NORTH, Links BF-F -- 
PASS: Zone H, inDir NORTH, Links BF-B NE 
PASS: Zone H, inDir NORTH, Links BF-B -- 
PASS: Zone H, inDir NORTH, Links BB-* NE 
PASS: Zone H, inDir NORTH, Links BB-* -- 
PASS: Zone H, inDir NORTH, Links BB-F NE 
PASS: Zone H, inDir NORTH, Links BB-F -- 
PASS: Zone H, inDir NORTH, Links BB-B NE 
PASS: Zone H, inDir NORTH, Links BB-B -- 
PASS: Zone H, inDir EAST , Links **-* NE 
PASS: Zone H, inDir EAST , Links **-* -- 
PASS: Zone H, inDir EAST , Links **-F NE 
PASS: Zone H, inDir EAST , Links **-F -- 
PASS: Zone H, inDir EAST , Links **-B NE 
PASS: Zone H, inDir EAST , Links **-B -- 
PASS: Zone H, inDir EAST , Links *F-* NE 
PASS: Zone H, inDir EAST , Links *F-* -- 
