1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone G, inDir EAST , Links *FF- -- 
PASS: Zone G, inDir EAST , Links *FB- NE 
PASS: Zone G, inDir EAST , Links *FB- -- 
PASS: Zone G, inDir EAST , Links *B*- NE 
PASS: Zone G, inDir EAST , Links *B*- -- 
PASS: Zone G, inDir EAST , Links *BF- NE 
PASS: Zone G, inDir EAST , Links *BF- -- 
PASS: Zone G, inDir EAST , Links *BB- NE 
PASS: Zone G, inDir EAST , Links *BB- -- 
PASS: Zone G, inDir EAST , Links F**- NE 
PASS: Zone G, inDir EAST , Links F**- -- 
PASS: Zone G, inDir EAST , Links F*F- NE 
PASS: Zone G, inDir EAST , Links F*F- -- 
PASS: Zone G, inDir EAST , Links F*B- NE 
PASS: Zone G, inDir EAST , Links F*B- -- 
PASS: Zone G, inDir EAST , Links FF*- NE 
PASS: Zone G, inDir EAST , Links FF*- -- 
PASS: Zone G, inDir EAST , Links FFF- NE 
PASS: Zone G, inDir EAST , Links FFF- -- 
PASS: Zone G, inDir EAST , Links FFB- NE 
PASS: Zone G, inDir EAST , Links FFB- -- 
PASS: Zone G, inDir EAST , Links FB*- NE 
PASS: Zone G, inDir EAST , Links FB*- -- 
PASS: Zone G, inDir EAST , Links FBF- NE 
PASS: Zone G, inDir EAST , Links FBF- -- 
PASS: Zone G, inDir EAST , Links FBB- NE 
PASS: Zone G, inDir EAST , Links FBB- -- 
PASS: Zone G, inDir EAST , Links B**- NE 
PASS: Zone G, inDir EAST , Links B**- -- 
PASS: Zone G, inDir EAST , Links B*F- NE 
PASS: Zone G, inDir EAST , Links B*F- -- 
PASS: Zone G, inDir EAST , Links B*B- NE 
PASS: Zone G, inDir EAST , Links B*B- -- 
PASS: Zone G, inDir EAST , Links BF*- NE 
PASS: Zone G, inDir EAST , Links BF*- -- 
PASS: Zone G, inDir EAST , Links BFF- NE 
PASS: Zone G, inDir EAST , Links BFF- -- 
PASS: Zone G, inDir EAST , Links BFB- NE 
PASS: Zone G, inDir EAST , Links BFB- -- 
PASS: Zone G, inDir EAST , Links BB*- NE 
PASS: Zone G, inDir EAST , Links BB*- -- 
PASS: Zone G, inDir EAST , Links BBF- NE 
PASS: Zone G, inDir EAST , Links BBF- -- 
PASS: Zone G, inDir EAST , Links BBB- NE 
PASS: Zone G, inDir EAST , Links BBB- -- 
PASS: Zone G, inDir WEST , Links ***- NE 
PASS: Zone G, inDir WEST , Links ***- -- 
PASS: Zone G, inDir WEST , Links **F- NE 
PASS: Zone G, inDir WEST , Links **F- -- 
PASS: Zone G, inDir WEST , Links **B- NE 
PASS: Zone G, inDir WEST , Links **B- -- 
PASS: Zone G, inDir WEST , Links *F*- NE 
